DELETED,NAME,FNAME,NICKNAMEID,PLAYERID,NUMBER,POSITION,POSITION2,YEARSEXP,SCHOOLNUM,HAND,SHOELIMIT,ORIGHSHOE,ORIGASHOE,OVERALLRTG,PLAYRVALUE,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,SCOREAREA,FACIALCTRL,FTRITUAL,AUDIONICK,CELEBPACK,THREEPTSTY,ORIGTEAM,TEAM,ROSTERPOS,BIRTHDATE,BTOWNID,DPLACE,DROUND,DOVERALL,DRAFTYEAR,DRAFTEDBY,SCRATCH1,SCRATCH2,SCRATCH3,DUNKPACK,DESTINY,INJURYID,INJURYDATE,RECOVRDATE,ISPLAYABLE,ISCREATED,ISGENERATE,ISHISTORIC,TRADEABLE,PLAYERPKG,INSEASON,INPLAYOFF,ROOKIEPKG,ROOKVALUE,ROOKIERANK,CASHYR_EXP,CASH_YEAR,CASH_TOTAL,CASH_RAISE,YEARS_LONG,YEARS_LEFT,CASH_TEAM,PREF_LEN,MIN_TARGET,LOWBALLED,ISMINIMUM,WEEKLYMVP,MONTHLYMVP,SUPERSTAR,OFFVALUE,DEFVALUE,SFGATT,SFGMAD,STHREEATT,STHREEMAD,SFTATT,SFTMAD,SBLOCKS,SOFFREB,SASSISTS,SPERFOUL,SSTEALS,SDEFREB,STURNOVER,SMINUTES,SGAMES,SGSTART,SEJECT,CSFGATT,CSFGMAD,CSTHREEATT,CSTHREEMAD,CSFTATT,CSFTMAD,CSBLOCKS,CSOFFREB,CSASSISTS,CSPERFOUL,CSSTEALS,CSDEFREB,CSTURNOVER,CSMINUTES,CSGAMES,CSGSTART,CSEJECT,PFGATT,PFGMAD,PTHREEATT,PTHREEMAD,PFTATT,PFTMAD,PBLOCKS,POFFREB,PASSISTS,PPERFOUL,PSTEALS,PDEFREB,PTURNOVER,PMINUTES,PGAMES,PGSTART,PEJECT,CPFGATT,CPFGMAD,CPTHREEAT,CPTHREEMAD,CPFTATT,CPFTMAD,CPBLOCKS,CPOFFREB,CPASSISTS,CPPERFOUL,CPSTEALS,CPDEFREB,CPTURNOVER,CPMINUTES,CPGAMES,CPGSTART,CPEJECT,LEARNING,WORKETHC,BIRDRIGHTS,CASHRESIGN,SPEECHID,SPECMAP,ISEDITED,ISORIGSS,VALIDSSTAR,DFLTTEAM,CLUTCH,SSTAR_HF,SSTAR_PM,SSTAR_PW,SSTAR_SCO,SSTAR_SCI,SSTAR_SH,SSTAR_STO,SSTAR_STI,SS_HF_ANI,SS_PM_ANI,SS_PW_ANI,SS_SCO_ANI,SS_SCI_ANI,SS_SH_ANI,SS_STO_ANI,SS_STI_ANI,CHEMTYPE,CHEMWANT,CHEMHAVE,CHEMHAPPY
False,McDyess,Antonio,3,19,24,1,0,11,2,0,2,221,221,71,1169,62,0,65,60,46,35,74,78,18,78,64,70,70,85,35,71,50,12,56,74,0,47,9,2,6,,2,10,7,7,5,19740907,6,2,1,2,1995,LAC,0,0,0,4,6,0,,,True,False,False,False,,ANMCDYE,False,False,0,0,0,0,5884,0,490,4,2,7,0,0,0,False,0,0,0,0,0,560,285,2,0,122,68,48,156,90,220,46,280,76,1733,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,57,1,0,42,23,13,39,11,54,8,70,14,369,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,19,4,False,False,0,7,59,-17,-58,-24,-31,-9,-58,-23,-34,0,0,0,0,0,0,0,0,2,0,0,0
False,Parker,Anthony,-1,20,24,3,2,5,212,0,0,101,101,62,1031,65,47,78,50,30,12,22,28,51,60,45,66,67,50,72,38,60,20,70,60,1,50,4,1,6,,1,7,27,27,8,19750619,282,21,1,21,1997,NJ,0,0,0,5,4,0,,,True,False,False,False,,ANPARKE,False,False,0,0,0,0,4000,0,0,3,3,27,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,20,0,False,False,0,-1,39,-29,-24,-48,-16,-24,-20,-35,-80,0,0,0,0,0,0,0,0,10,0,0,0
False,Walker,Antoine,-1,22,8,2,1,10,59,0,2,218,218,78,1270,70,67,62,60,50,30,48,78,69,75,60,62,59,70,62,71,75,25,69,70,20,68,9,2,6,,2,9,14,14,2,19760812,320,6,1,6,1996,Bos,0,0,0,6,4,0,,,True,False,False,False,,ANWALKE,False,False,0,0,0,0,7774,0,773,6,5,14,0,0,0,False,0,0,0,0,0,898,391,383,137,129,81,30,103,166,187,47,318,150,2191,82,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,114,148,48,54,31,8,16,56,69,23,113,47,859,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,22,13,False,False,0,14,67,-18,-15,-15,-11,-8,-17,-23,-44,0,0,0,0,0,0,0,0,6,0,0,0
False,Croshere,Austin,-1,26,44,1,2,9,104,0,2,233,220,67,1117,71,67,88,57,48,14,44,73,25,67,59,59,52,50,54,69,48,25,59,52,35,46,4,0,6,,0,6,10,5,6,19750501,497,12,1,12,1997,Ind,0,0,0,6,5,0,,,True,False,False,False,,AUCROSH,False,False,0,0,0,0,7300,0,650,7,1,5,0,0,0,False,0,0,0,0,0,285,132,140,54,102,90,7,62,62,105,22,203,48,1146,50,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,23,9,18,16,0,5,7,11,5,17,6,174,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,26,4,False,False,0,10,59,-31,-50,-27,-22,-20,-16,-35,-35,0,0,0,0,0,0,0,0,6,0,0,0
False,Wallace,Ben,130,28,3,0,1,10,614,0,0,107,107,84,1357,49,7,41,80,80,90,82,91,24,51,99,70,70,80,24,88,88,13,80,64,1,40,4,1,6,,1,10,7,3,0,19740910,481,-1,-1,-1,1996,--,0,0,0,14,4,0,,,True,False,False,False,,BEWALLA,False,False,0,0,0,0,16000,0,0,4,4,3,0,0,0,False,0,0,128,0,0,465,237,4,0,296,123,181,301,158,164,146,622,88,2892,82,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,33,1,0,66,18,22,60,31,41,24,129,15,642,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,28,10,False,True,128,7,30,-9,-87,33,-70,-30,-89,-9,80,0,0,1,0,0,0,0,0,3,0,0,0
False,Jackson,Bobby,-1,34,24,4,3,9,74,0,0,104,101,73,1205,73,74,86,34,48,5,33,60,53,81,74,90,90,57,70,48,55,25,50,54,38,69,6,2,6,,2,1,13,18,6,19730313,11,23,1,23,1997,Sea,0,0,0,2,4,0,,,True,False,False,False,,BOJACKS,False,False,0,0,0,0,3375,0,0,5,1,18,0,0,0,False,0,0,0,0,0,748,286,332,129,146,107,1,44,195,155,61,179,101,1770,71,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,11,4,7,5,0,0,5,7,1,8,14,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,34,1,False,False,0,13,59,-60,-23,-64,-7,-23,-8,-15,-55,0,0,0,0,0,0,0,0,6,0,0,0
False,Sura,Bob,-1,36,3,4,3,10,38,0,0,106,101,72,1183,62,65,75,40,60,5,32,70,82,62,59,73,77,55,70,51,60,25,67,46,31,52,6,1,6,,1,5,9,9,11,19730325,12,17,1,17,1995,Cle,0,0,0,4,5,0,,,True,False,False,False,,BOSURA_,False,False,0,0,0,0,3800,0,40,4,2,9,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,36,4,False,False,0,9,59,-40,-17,-55,-17,-37,-15,-17,-58,0,0,0,0,0,0,0,0,8,0,0,0
False,Barry,Brent,8,37,17,4,3,11,96,0,3,139,140,68,1122,74,80,66,80,40,18,10,49,66,65,39,69,66,55,65,52,53,25,70,44,59,44,5,0,6,,0,5,25,25,8,19711231,13,15,1,15,1995,Den,0,0,0,5,6,0,,,True,False,False,False,,BRBARRY,False,False,0,0,0,0,5118,0,436,4,2,25,0,0,0,False,0,0,0,0,0,345,156,202,80,59,39,27,29,123,99,39,130,52,1262,74,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,34,34,17,21,16,3,3,22,29,9,29,9,303,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,37,15,False,False,0,25,59,-27,-18,-51,-13,-29,-12,-34,-76,0,0,0,0,0,0,0,0,2,0,0,0
False,Bowen,Bruce,-1,38,12,2,3,10,216,0,1,60,58,70,1147,66,72,60,34,81,23,15,46,22,48,90,68,85,60,56,48,90,25,72,51,42,31,5,0,6,,0,5,25,25,2,19710614,14,-1,-1,-1,1996,--,0,0,0,0,4,0,,,True,False,False,False,,BRBOWEN,False,False,0,0,0,0,3750,0,375,4,2,25,0,0,0,False,0,0,16,0,0,536,232,245,104,84,51,30,35,126,191,79,285,67,2710,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,32,30,15,2,1,8,6,16,42,11,22,9,439,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,38,2,False,True,16,25,39,-31,-52,-54,-27,-31,-17,50,-60,0,0,0,0,0,0,0,0,2,0,0,0
False,Grant,Brian,6,40,55,1,0,12,159,0,0,108,101,66,1098,65,0,72,69,36,32,70,71,14,43,78,65,61,55,42,77,69,12,50,55,0,28,4,1,6,,1,10,22,50,,19720305,55,8,1,8,1994,Sac,0,0,0,6,6,0,,,True,False,False,False,,BRGRANT,False,False,0,0,0,0,1800,0,0,2,1,50,0,0,0,False,0,0,0,0,0,65,27,0,0,8,7,3,11,7,45,5,46,7,248,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,0,7,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,40,10,False,False,0,12,51,-21,-76,-10,-45,-31,-53,-42,-31,0,0,0,0,0,0,0,0,7,0,0,0
False,Knight,Brevin,-1,41,22,4,4,9,126,0,0,101,101,68,1125,61,23,80,0,83,3,8,40,85,80,80,86,85,40,83,43,55,18,64,42,3,64,6,0,6,,0,3,2,2,5,19751108,15,16,1,16,1997,Cle,0,0,0,2,4,0,,,True,False,False,False,,BRKNIGH,False,False,0,0,0,0,4400,0,0,3,2,2,0,0,0,False,0,0,16,0,0,772,308,13,3,314,252,4,35,610,202,157,188,164,2353,69,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,41,4,False,True,16,2,50,-99,19,-88,-18,-45,-47,40,-99,0,0,0,0,0,0,0,0,3,0,0,0
False,Russell,Bryon,10,44,9,3,2,13,279,0,0,104,104,67,1101,61,74,79,39,66,16,39,63,33,44,57,61,63,50,60,54,76,25,50,58,48,39,5,1,6,,1,5,6,50,9,19701231,18,45,2,45,1993,Utah,0,0,0,4,7,0,,,True,False,False,False,,BRRUSSE,False,False,0,0,0,0,1100,0,0,1,1,50,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,44,2,False,False,0,6,79,-36,-45,-37,-29,-34,-10,-15,-51,0,0,0,0,0,0,0,0,10,0,0,0
False,Cheaney,Calbert,-1,49,40,2,3,13,53,1,0,56,14,61,1026,67,60,64,33,32,25,26,50,32,49,58,66,59,46,68,58,76,25,50,50,0,38,4,1,6,,0,7,8,50,10,19710717,120,6,1,6,1993,Was,0,0,0,2,5,0,,,True,False,False,False,,CACHEAN,False,False,0,0,0,0,1760,0,0,1,1,50,0,0,0,False,0,0,0,0,0,108,42,8,0,8,8,2,20,19,38,13,41,17,451,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,49,4,False,False,0,8,59,-38,-41,-33,-21,-30,-20,-32,-45,0,0,0,0,0,0,0,0,6,0,0,0
False,Billups,Chauncey,-1,54,1,4,3,9,22,0,2,195,298,84,1353,80,81,89,35,82,1,12,40,80,82,83,80,86,65,86,65,84,25,85,55,42,61,6,1,4,,1,4,7,7,4,19760925,260,3,1,3,1997,Bos,0,0,0,2,4,0,,,True,False,False,False,,CHBILLU,False,False,0,0,0,0,6364,0,455,6,2,7,0,0,0,False,0,0,16,0,0,1012,423,425,184,520,465,8,41,699,160,71,211,170,2916,81,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,93,94,32,116,105,2,7,117,43,22,54,43,704,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,54,1,False,True,16,7,81,-52,19,-56,25,-41,22,44,-99,0,0,0,0,0,0,0,0,3,0,0,0
False,Laettner,Christian,-1,60,44,1,0,13,31,0,0,10,10,65,1072,58,14,76,48,78,32,39,67,26,67,58,54,49,40,49,68,80,15,50,57,4,38,4,2,6,,2,10,50,50,9,19690817,24,3,1,3,1992,Min,0,0,0,3,6,0,,,True,False,False,False,,CHLAETT,False,False,0,0,0,0,1100,0,0,1,1,50,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,60,4,False,False,0,50,99,-43,-52,-27,-32,-23,-47,-36,-30,0,0,0,0,0,0,0,0,9,0,0,0
False,Mullin,Chris,12,63,17,3,2,17,125,1,0,101,101,94,1509,94,95,92,60,68,49,60,71,80,93,88,70,62,58,89,58,84,25,90,69,25,65,5,0,6,,0,5,-1,37,2,19630730,170,7,1,7,1985,GS,0,0,0,3,0,0,,,True,False,False,False,,CHMULLI,False,False,0,0,0,0,77777,0,,1,1,37,0,0,0,False,0,0,8,0,0,13243,6740,2120,815,4178,3616,549,1026,3450,2050,1530,3008,2315,32163,986,822,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,366,164,67,213,183,45,46,148,145,74,191,136,2057,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,False,False,11,-1,96,-20,40,-33,70,-15,77,-10,-26,0,0,0,0,0,0,0,0,1,0,0,0
False,Outlaw,Bo,-1,65,45,1,0,13,50,0,0,107,101,64,1096,42,0,62,58,51,63,60,79,29,25,74,65,64,65,33,58,89,12,50,55,0,26,4,2,6,,2,6,20,50,9,19710413,26,-1,-1,-1,1993,--,0,0,0,3,5,0,,,True,False,False,False,,CHOUTLA,False,False,0,0,0,0,1100,0,0,1,1,50,0,0,0,False,0,0,0,0,0,58,35,0,0,8,5,12,31,14,50,10,46,17,354,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,65,4,False,False,0,22,33,-21,-82,-27,-71,-50,-70,-18,-8,0,0,0,0,0,0,0,0,7,0,0,0
