	NAME	FNAME	POSITION	POSITION2	HAND	OVERALLRTG	FGPBASE	THREEPTBAS	FTPBASE	DNKABILITY	STLABILITY	BLKABILITY	OREABILITY	DREABILITY	BALABILITY	OFFABILITY	DEFABILITY	SPEED	QUICK	JUMP	DRIBBLE	DSTRENGTH	DHARDY	DSHOOTRANG	FATIGUE	INSIDESC	THREEPTATT	PRIMACY	SFGATT	SFGMAD	STHREEATT	STHREEMAD	SFTATT	SFTMAD	SBLOCKS	SOFFREB	SASSISTS	SPERFOUL	SSTEALS	SDEFREB	STURNOVER	SMINUTES	SGAMES	SGSTART	CHEMTYPE	year
18	Walker	Antoine	1	1	0	80	83	61	55	60	42	38	56	79	63	78	54	66	61	77	69	72	94	25	77	77	27	75	1129	483	305	82	186	103	65	198	369	212	65	486	202	2840	82	82		05
19	Pierce	Paul	3	2	0	89	85	67	82	80	76	27	18	70	64	83	74	82	78	72	83	68	90	25	84	61	25	94	1497	602	384	115	631	517	52	69	410	234	131	453	303	3099	80	80		05
20	Sundov	Bruno	0	0	0	36	52	10	75	58	20	34	36	55	45	40	25	50	40	25	45	52	60	15	14	52	0	35	10	4	0	0	6	3	0	2	1	9	0	8	3	33	5	0		05
21	Brown	Kedrick	2	2	0	57	52	72	63	80	58	13	35	57	32	58	41	64	67	75	68	62	57	25	42	51	38	26	254	117	99	38	27	17	7	41	64	80	30	105	29	969	55	26		05
22	Bremer	J.R.	4	3	1	57	83	83	77	60	46	4	10	45	53	67	40	70	75	50	65	47	60	25	54	44	51	35	464	171	286	101	111	85	3	18	164	80	38	127	59	1503	64	41		05
23	Banks	Marcus	4	4	0	59	58	59	76	10	89	14	18	39	62	67	60	88	85	59	73	47	60	23	46	47	19	24	442	177	86	27	131	99	13	30	175	171	88	103	125	1384	81	2		05
24	Perkins	Kendrick	1	1	0	45	43	2	62	52	21	55	60	74	11	61	44	56	54	35	32	93	54	13	28	62	0	10	15	8	0	0	9	6	2	5	3	6	0	9	5	35	10	0		05
25	Marshall	Donyell	1	2	0	74	62	75	74	64	58	67	57	86	20	77	42	60	71	54	61	63	72	25	80	70	31	39	1020	470	325	131	182	134	124	210	122	247	93	598	117	2988	82	74		05
26	Hoiberg	Fred	3	2	0	54	75	76	84	0	67	9	10	71	29	56	70	66	60	40	66	54	80	25	65	35	44	25	383	178	172	76	116	98	10	21	109	136	66	247	44	1804	79	3		05
27	Rose	Jalen	3	4	1	73	74	65	81	58	37	14	11	49	64	78	77	82	82	56	89	57	86	25	79	62	21	51	952	383	202	69	231	187	22	34	329	184	51	232	208	2497	66	64		05
28	Brunson	Rick	4	4	1	46	63	62	42	5	82	0	36	46	75	46	59	64	60	40	72	32	45	25	24	45	21	35	105	40	23	11	31	27	3	9	82	44	25	28	33	412	40	0		05
29	Blount	Corie	0	1	0	53	46	0	56	62	82	38	72	78	25	45	50	65	63	40	41	68	59	12	42	55	0	25	253	115	3	0	27	15	24	98	55	135	49	177	43	1050	62	3		05
30	Robinson	Eddie	3	2	0	53	62	13	65	81	59	16	21	41	28	64	49	70	71	75	66	52	65	15	45	58	0	42	326	157	5	1	43	28	10	27	58	57	33	77	45	1024	51	4		05
31	Fizer	Marcus	2	1	0	59	57	14	66	67	32	34	74	78	29	81	52	58	56	65	53	82	62	15	45	65	1	44	383	178	6	1	134	88	17	80	48	89	14	136	57	809	38	0		05
32	Crawford	Jamal	3	4	0	72	83	78	83	80	72	16	13	45	80	79	31	74	80	55	75	46	69	25	67	54	39	60	1318	509	521	165	240	200	29	46	405	161	111	237	193	2811	80	73		05
33	Chandler	Tyson	1	0	0	64	64	0	67	76	40	88	77	95	14	53	68	65	64	66	40	60	65	12	42	70	0	15	158	67	1	0	118	79	43	82	23	87	17	188	38	782	35	8		05
34	Curry	Eddy	0	1	0	66	55	9	67	76	21	70	58	72	15	80	68	53	53	65	32	89	83	13	72	76	0	40	840	417	1	1	350	235	83	143	68	258	24	308	177	2154	73	63		05
35	Hassell	Trenton	3	2	0	52	66	28	79	10	33	42	33	48	29	35	68	69	68	68	70	56	85	18	75	42	3	20	381	177	13	4	61	48	54	68	133	200	36	189	46	2264	81	74		05
36	Mason Jr.	Roger	3	4	0	54	50	70	86	48	62	29	3	49	39	56	55	73	72	46	60	52	55	25	27	56	39	45	98	32	39	13	22	19	6	1	26	36	11	30	20	328	26	3		05
37	Baxter	Lonny	1	0	0	53	49	2	68	67	24	52	73	74	11	74	58	59	50	50	40	67	70	13	33	58	0	33	209	103	3	1	76	44	29	64	20	123	17	123	38	766	62	5		05
38	Ilgauskas	Zydrunas	0	0	0	69	68	15	75	63	29	88	78	74	21	78	65	46	59	56	30	70	60	15	71	85	1	58	965	466	7	2	406	303	201	279	109	277	39	374	163	2539	81	81		05
39	Stewart	Michael	1	1	0	35	22	0	12	42	14	82	62	73	11	27	59	59	55	41	15	56	88	12	19	48	0	20	12	5	0	0	4	3	10	8	0	34	2	21	3	147	25	2		05
40	Davis	Ricky	2	2	0	70	68	63	72	87	72	14	25	60	52	77	38	70	72	88	71	46	70	25	71	61	14	48	950	446	140	52	273	196	22	77	259	171	96	281	189	2474	79	27		05
41	Jones	Jumaine	2	1	0	58	62	66	61	80	59	40	52	63	18	48	54	59	68	60	55	58	77	25	35	55	45	20	96	33	44	13	23	14	9	24	14	48	12	44	19	373	42	2		05
42	Palacio	Milt	3	2	0	45	58	26	66	17	62	14	10	38	81	40	36	75	72	33	64	52	69	18	48	38	8	25	298	104	26	4	68	45	11	15	184	90	41	87	87	1211	59	13		05
43	Miles	Darius	2	2	0	65	43	38	64	88	59	47	43	63	38	75	66	73	70	86	60	52	55	20	62	60	5	30	753	365	40	7	193	124	61	112	162	168	67	247	130	2079	79	56		05
44	Mihm	Chris	0	0	0	54	40	0	66	58	51	77	81	84	8	69	54	47	40	50	33	78	45	12	46	65	0	20	381	186	0	0	166	110	63	156	21	208	37	257	90	1330	76	17		05
45	Diop	DeSagana	0	0	0	51	34	0	37	65	66	85	74	80	22	34	60	52	55	50	27	98	34	12	40	54	1	10	147	57	0	0	20	12	51	72	34	116	26	127	29	730	56	3		05
46	Brown	Tierre	4	4	0	46	52	32	78	0	62	13	24	39	84	59	40	73	71	55	69	35	58	20	23	47	1	20	4	2	0	0	4	2	0	0	2	1	0	1	7	17	3	0		05
47	Boozer	Carlos	1	0	0	73	55	8	77	78	53	34	71	95	28	77	51	56	57	66	46	92	75	13	75	68	0	75	900	471	6	1	285	219	55	230	148	199	74	627	134	2592	75	75		05
48	Wagner	Dajuan	3	4	0	54	68	73	68	10	67	16	10	36	35	78	55	72	78	62	73	57	65	25	40	51	28	20	306	112	86	31	47	32	7	9	51	89	26	49	41	708	44	4		05
49	James	LeBron	3	2	0	84	63	58	75	98	77	31	25	57	79	79	60	77	72	90	70	71	75	23	75	70	14	90	1492	622	217	63	460	347	58	99	465	149	130	333	273	3122	79	79		05
50	Johnson	Avery	4	4	1	48	56	8	77	0	64	4	18	27	81	70	73	78	78	30	66	27	65	13	25	47	1	59	199	80	3	0	78	52	3	3	111	34	26	30	51	637	46	1		05
51	Finley	Michael	3	3	0	81	74	80	85	80	56	23	22	48	38	78	78	87	80	70	87	64	95	25	82	60	31	60	1159	514	370	150	193	164	39	78	212	118	84	247	83	2778	72	72		05
52	Van Exel	Nick	4	3	1	64	81	67	71	0	29	2	10	38	83	75	66	81	90	65	82	55	85	25	64	55	31	52	479	187	150	46	99	70	2	16	206	57	20	88	78	1255	39	29		05
53	Abdul-Wahad	Tariq	2	3	0	46	57	6	46	59	54	23	56	67	50	54	55	68	63	55	57	48	30	13	28	51	0	33	58	27	1	0	6	3	3	14	21	26	6	26	7	204	14	0		05
54	Jones	Popeye	1	1	0	42	39	0	64	58	42	7	86	71	18	46	61	46	42	40	35	85	50	12	15	63	0	10	2	0	0	0	0	0	0	1	0	2	0	0	0	10	5	0		05
55	Bradley	Shawn	0	0	0	52	50	0	84	33	78	94	72	70	13	54	75	43	34	25	23	71	60	12	34	71	1	15	188	89	1	0	49	41	74	72	20	130	33	101	17	773	66	5		05
56	Nash	Steve	4	4	0	75	86	82	92	0	46	5	18	35	97	82	74	97	96	65	90	52	85	25	76	50	30	40	845	397	257	104	251	230	8	59	687	139	67	173	209	2612	78	78		05
57	Nowitzki	Dirk	1	2	0	85	91	78	88	68	58	58	25	86	35	83	59	64	70	60	59	64	85	25	82	85	22	95	1310	605	290	99	423	371	104	90	207	216	92	580	135	2915	77	77		05
58	LaFrentz	Raef	0	1	1	63	70	55	68	53	45	65	72	74	36	67	51	62	54	45	40	58	47	23	37	78	31	49	124	57	40	8	13	10	13	30	24	47	8	49	11	328	17	1		05
59	Eschmeyer	Evan	0	0	0	43	45	2	22	58	61	51	81	88	15	40	43	50	41	40	33	74	37	13	21	74	0	10	19	7	0	0	4	3	7	10	6	35	10	19	6	135	17	3		05
60	Griffin	Adrian	2	3	1	49	56	35	84	10	86	7	52	69	38	45	45	62	66	50	66	70	58	20	30	48	11	12	18	5	2	1	4	0	2	1	10	17	7	18	3	133	19	1		05
61	Najera	Eduardo	2	1	0	53	47	24	65	10	82	43	72	66	17	46	64	62	68	45	59	68	64	18	33	75	1	32	162	72	4	2	46	30	19	67	25	90	35	89	29	720	58	7		05
62	Howard	Josh	3	2	0	67	45	54	70	81	80	56	72	71	29	69	55	68	68	70	60	52	62	23	55	57	12	25	532	229	66	20	138	97	54	149	97	168	69	219	67	1589	67	29		05
63	Howard	Juwan	1	2	0	64	63	0	81	73	35	13	48	72	27	78	66	64	61	60	49	81	78	12	78	79	1	35	1169	529	1	0	393	318	22	171	158	284	54	399	178	2876	81	77		05
64	Camby	Marcus	0	1	0	70	57	0	72	78	74	91	74	95	29	56	75	60	62	59	46	57	35	12	67	70	0	38	549	262	2	0	136	98	187	211	132	239	86	516	98	2161	72	72		05
65	Williams	Shammond	4	3	0	58	76	68	88	0	82	4	10	35	81	64	50	83	80	65	75	59	58	25	36	35	43	21	232	87	100	30	58	51	2	9	116	62	37	51	47	764	53	4		05
66	Bowen	Ryan	2	2	0	51	52	22	66	45	90	47	63	42	27	43	73	63	60	65	42	40	50	18	41	65	0	29	53	18	0	0	12	10	16	39	18	47	18	48	6	392	52	1		05
67	Harvey	Donnell	2	1	0	47	34	2	73	80	56	56	50	74	13	59	53	53	56	75	25	59	50	13	35	60	1	22	201	89	3	0	83	61	27	48	21	129	24	116	45	783	60	8		05
68	White	Rodney	2	1	0	58	58	69	75	83	59	32	36	66	29	81	39	57	57	70	54	63	43	25	40	65	18	18	468	215	87	33	104	78	20	44	60	105	32	121	78	985	72	0		05
69	Trepagnier	Jeff	3	3	1	39	48	2	54	66	60	42	48	56	36	38	50	46	52	55	46	36	63	13	23	46	20	21	40	17	8	4	7	7	0	8	6	5	8	8	8	97	8	0		05
70	Andersen	Chris	1	0	0	57	37	0	59	91	61	99	70	86	17	45	48	45	39	66	29	62	64	12	40	63	1	25	203	90	1	0	107	63	114	89	35	119	34	209	48	1029	71	0		05
71	Tskitishvili	Nikoloz	1	2	0	51	67	38	79	58	35	41	63	67	15	66	32	63	63	50	53	56	43	20	30	64	9	15	122	40	11	3	29	23	8	24	10	50	6	39	17	307	39	0		05
72	Nene		1	0	0	60	59	0	68	70	81	27	50	72	32	70	47	52	61	70	40	75	55	12	72	75	1	25	630	334	2	0	352	240	41	154	168	280	116	349	183	2504	77	77		05
73	Wallace	Ben	0	1	0	77	55	2	49	78	82	94	80	95	27	48	99	50	60	80	21	80	90	13	89	75	1	25	748	315	8	1	290	142	246	324	138	162	143	682	123	3050	81	81		05
74	Billups	Chauncey	4	3	0	71	80	76	88	45	56	5	10	46	81	72	49	81	74	65	78	51	84	25	77	50	33	65	996	392	335	130	460	404	8	35	446	177	84	241	189	2758	78	78		05
75	Robinson	Cliff	1	1	0	65	74	71	71	64	43	41	15	50	46	66	87	65	57	50	69	59	75	25	77	60	33	34	945	366	314	112	173	123	73	54	271	237	68	268	173	2846	82	82		05
76	Williamson	Corliss	2	1	0	55	64	0	73	52	35	20	45	57	18	78	55	74	62	50	57	75	85	12	51	77	0	42	602	304	0	0	197	144	20	88	57	204	30	168	113	1574	79	0		05
77	Davis	Hubert	3	3	0	42	80	69	52	10	29	0	15	49	43	46	59	68	64	40	66	41	88	25	11	43	9	15	11	1	1	0	2	2	0	2	4	12	2	6	3	78	17	0		05
78	Barry	Jon	3	3	0	57	86	75	85	0	84	13	18	48	66	61	57	66	60	40	69	58	70	25	45	35	46	33	297	120	138	51	71	60	8	25	147	66	57	98	53	1101	57	9		05
79	Curry	Michael	2	3	0	48	64	28	84	46	35	7	14	28	21	32	88	72	75	48	63	58	90	18	50	50	7	25	196	76	15	3	58	49	5	22	53	153	23	65	48	1229	70	15		05
80	Hamilton	Richard	3	2	0	74	82	47	87	69	69	11	22	39	65	79	65	80	78	62	71	48	85	20	80	60	5	65	1166	530	68	18	342	297	17	78	310	222	103	201	210	2773	78	78		05
81	Atkins	Chucky	4	4	0	55	84	76	75	0	54	2	4	29	80	67	50	76	83	50	78	36	77	25	55	32	49	31	484	192	241	81	97	73	2	9	223	102	45	84	92	1544	64	24		05
82	Rebraca	Zeljko	0	0	0	54	55	0	77	72	34	65	69	69	11	64	47	47	42	60	28	74	87	12	25	68	0	24	77	34	0	0	30	23	11	23	6	52	5	35	17	273	24	2		05
83	Prince	Tayshaun	2	1	1	65	52	62	77	80	43	41	28	59	35	59	75	65	68	75	60	54	70	25	74	60	21	30	723	338	157	57	141	108	69	93	191	149	63	297	119	2701	82	80		05
84	Okur	Mehmet	0	1	0	64	58	57	78	47	42	65	75	78	21	76	35	45	48	43	67	71	51	23	70	68	8	44	542	251	48	18	209	162	63	160	69	138	36	261	101	1580	71	33		05
85	Foyle	Adonal	0	1	0	45	23	0	54	65	19	89	73	85	14	46	38	49	44	40	18	79	45	12	65	43	0	10	130	59	0	0	35	19	46	54	17	68	6	113	21	572	44	8		05
86	Sura	Bob	3	3	0	64	62	51	76	55	69	14	49	71	69	69	59	73	77	55	66	52	60	23	52	46	16	30	485	202	79	21	226	171	14	100	233	158	62	226	105	1663	80	18		05
87	Fortson	Danny	1	1	0	53	52	0	82	52	35	29	76	74	7	62	50	55	64	47	40	78	70	12	43	67	1	28	139	71	0	0	92	75	11	114	9	148	12	136	37	625	56	20		05
88	Dampier	Erick	0	0	0	63	50	0	65	58	26	80	90	92	13	74	61	44	48	40	23	80	88	12	72	71	0	43	650	348	2	0	332	217	137	344	60	227	33	543	131	2403	74	74		05
89	Jamison	Antawn	2	1	0	78	74	56	75	82	64	20	74	64	14	79	61	73	71	81	65	59	90	23	67	73	4	85	913	488	40	16	294	220	30	233	70	174	83	287	81	2376	82	2		05
90	Boykins	Earl	4	4	0	58	66	65	88	0	51	2	18	29	82	77	61	99	99	50	72	26	80	25	56	21	22	28	766	321	171	55	162	142	3	42	295	84	51	101	100	1849	82	3		05
91	Richardson	Jason	3	2	0	78	67	61	68	99	54	23	34	71	38	79	51	83	83	97	75	62	53	25	81	53	21	87	1284	563	273	77	377	258	41	124	226	182	86	400	196	2936	78	78		05
92	Murphy	Troy	1	2	1	64	64	40	75	62	37	45	64	87	15	77	51	68	58	45	56	68	60	20	55	71	6	36	243	107	17	5	80	60	17	48	20	58	12	125	34	610	28	0		05
93	Arenas	Gilbert	4	3	0	73	69	81	75	59	83	9	21	52	66	80	40	84	79	60	80	49	68	25	76	54	36	68	914	358	333	125	317	237	12	55	275	176	103	199	226	2066	56	52		05
94	Dunleavy Jr.	Mike	2	2	0	63	76	72	74	52	53	18	42	75	46	72	50	63	58	44	64	58	75	25	70	52	35	32	720	323	254	94	185	137	13	87	220	169	68	355	143	2336	75	69		05
95	Welsch	Jiri	3	2	0	56	71	69	74	18	81	5	22	57	41	66	61	63	62	54	59	53	75	25	63	39	29	30	612	262	181	69	206	153	7	60	183	176	101	236	129	2179	81	68		05
96	Pietrus	Mickael	3	2	0	56	51	74	69	82	78	25	52	50	18	72	50	59	62	73	45	50	50	25	40	45	45	25	231	96	105	35	75	52	12	48	27	100	32	71	40	748	53	22		05
97	Rice	Glen	2	2	0	49	84	74	76	0	27	5	15	43	21	70	58	72	69	60	59	40	50	25	56	66	36	39	76	22	28	5	17	17	0	9	24	22	6	32	13	262	18	0		05
98	Taylor	Maurice	1	1	0	61	58	0	74	77	38	36	52	64	25	75	52	64	69	50	62	81	50	12	64	72	0	38	765	367	2	0	174	128	47	131	107	253	43	253	149	2081	75	10		05
99	Cato	Kelvin	0	1	0	59	27	0	68	69	54	80	71	82	20	46	60	52	60	75	15	85	73	12	58	51	1	27	360	161	0	0	142	96	96	153	72	203	52	319	84	1741	69	67		05
100	Mobley	Cuttino	3	4	1	74	78	82	81	65	61	30	10	53	42	75	65	83	77	75	71	65	72	25	87	42	38	55	1081	460	420	164	217	176	33	40	258	179	107	322	180	3230	80	80		05
101	Posey	James	2	3	0	70	64	75	83	80	86	27	31	67	24	77	61	72	66	50	68	56	73	25	69	49	37	50	770	368	290	112	335	278	40	92	122	248	137	311	112	2451	82	82		05
102	Francis	Steve	4	3	0	85	70	59	77	95	75	18	29	53	82	78	68	86	83	96	89	48	75	23	87	40	22	75	1117	450	250	73	435	337	35	116	493	257	139	317	294	3195	79	79		05
103	Norris	Moochie	4	4	1	54	68	63	76	0	84	9	10	35	80	53	60	82	70	50	72	47	80	25	36	36	26	15	217	80	58	20	71	54	5	10	121	51	44	55	64	847	66	0		05
104	Collier	Jason	0	0	1	49	60	15	79	70	37	32	53	71	15	75	50	39	36	65	31	70	62	15	52	48	1	15	165	79	4	1	85	67	11	36	17	71	11	75	31	545	20	16		05
105	Griffin	Eddie	1	2	0	58	59	67	62	70	51	59	48	69	22	55	46	55	56	70	58	54	60	25	30	49	28	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		05
106	Ming	Yao	0	0	0	80	66	35	81	60	19	81	63	86	33	81	72	58	66	45	55	86	90	20	83	85	0	68	1025	535	2	0	446	361	156	197	122	273	22	538	204	2692	82	82		05
107	Nachbar	Bostjan	3	2	0	53	66	74	72	59	50	45	13	64	28	51	32	60	62	48	58	58	66	25	32	61	47	37	132	47	63	23	29	21	14	8	30	72	14	62	23	514	45	3		05
108	Croshere	Austin	1	2	0	58	71	79	89	57	42	22	46	80	24	70	59	59	52	50	54	68	45	25	39	49	46	22	307	119	144	56	104	93	14	60	52	101	24	183	55	1051	77	0		05
109	Strickland	Erick	3	4	1	62	82	80	86	10	81	5	18	55	82	78	54	76	72	50	68	61	58	25	32	36	33	30	196	79	66	29	51	44	2	13	90	63	26	58	54	571	43	0		05
110	O'Neal	Jermaine	1	0	0	84	62	15	76	85	38	86	56	88	29	82	72	69	75	80	44	67	85	15	78	90	1	81	1400	608	18	2	460	348	199	193	164	248	59	585	181	2788	78	78		05
111	Mercer	Ron	3	2	0	54	72	25	80	60	54	14	15	39	32	64	58	70	65	62	65	41	75	18	55	66	3	40	211	90	7	2	17	13	5	10	22	37	14	39	26	516	39	0		05
112	Miller	Reggie	3	3	0	64	84	86	88	10	53	7	11	41	55	69	73	78	74	50	66	52	89	25	75	52	56	35	594	260	334	134	165	146	11	18	249	96	65	170	68	2254	80	80		05
113	Harrington	Al	2	1	0	71	65	49	73	90	61	14	55	72	27	71	65	68	69	89	58	75	58	20	70	52	8	68	909	421	77	21	252	185	22	163	131	250	80	345	163	2441	79	15		05
114	Miller	Brad	0	1	0	72	55	49	78	57	48	54	59	88	59	74	52	58	62	50	38	76	70	20	78	86	5	42	731	373	38	12	329	256	86	191	312	247	68	552	144	2621	72	53		05
115	Artest	Ron	2	3	0	72	66	63	73	51	86	31	29	56	49	79	80	58	83	56	61	76	55	25	80	60	21	57	1112	468	242	75	439	322	50	100	272	194	152	285	202	2714	73	71		05
116	Foster	Jeff	0	1	0	53	51	0	67	61	67	22	84	82	15	48	49	51	49	50	30	67	85	12	58	55	0	20	362	197	4	0	154	103	27	248	64	189	71	362	60	1961	82	79		05
117	Bender	Jonathan	1	2	0	61	66	61	83	86	34	67	27	60	17	81	31	63	68	50	55	52	70	25	35	72	20	30	106	50	22	9	47	39	11	9	9	23	5	31	33	271	21	0		05
118	Brezec	Primoz	1	1	0	32	50	18	20	58	21	34	44	47	17	44	37	35	39	40	30	69	43	15	13	72	0	35	38	15	1	0	20	12	4	13	4	16	2	10	7	111	22	1		05
119	Tinsley	Jamaal	4	3	0	63	54	79	73	0	88	20	17	42	81	61	62	81	81	50	86	49	75	25	55	35	55	29	370	153	207	77	67	49	17	28	303	132	84	108	110	1378	52	43		05
120	Brewer	Jamison	4	3	0	40	43	31	35	12	35	4	34	58	80	49	38	70	67	65	73	43	47	20	34	29	40	15	35	13	14	5	6	1	0	2	17	9	7	9	10	160	13	1		05
121	Jones	Fred	3	3	0	55	51	51	83	90	80	20	14	35	56	51	50	65	65	97	35	40	70	23	49	35	28	24	311	123	89	27	149	124	18	25	173	132	65	101	73	1508	81	2		05
122	Parks	Cherokee	0	1	0	47	50	15	61	58	45	50	57	70	15	56	51	48	37	40	35	49	81	15	44	54	0	34	10	4	0	0	6	4	3	4	1	7	0	6	2	64	12	0		05
123	Piatkowski	Eric	3	2	0	48	86	81	83	10	42	11	11	48	18	54	51	68	67	40	63	59	61	25	35	48	57	33	191	72	122	43	16	14	5	10	26	42	16	63	29	703	49	0		05
124	Rooks	Sean	0	1	0	38	39	0	89	57	43	27	32	66	24	45	46	36	32	25	34	79	60	12	35	55	1	25	151	54	1	0	37	33	10	24	29	89	14	73	22	595	55	0		05
125	Olowokandi	Michael	0	0	0	60	57	0	59	68	32	86	69	81	13	58	55	50	57	60	28	81	76	12	50	77	0	24	285	121	0	0	61	36	68	78	24	137	16	167	54	925	43	25		05
126	Brand	Elton	1	1	0	82	69	10	77	79	45	81	75	78	42	80	65	60	64	65	50	85	72	15	82	87	1	65	982	484	1	0	532	411	154	269	227	229	64	445	193	2670	69	68		05
127	Maggette	Corey	2	3	0	76	66	65	85	92	45	9	29	67	42	83	54	78	74	92	71	67	82	25	78	50	22	71	1013	453	231	76	620	526	16	96	224	217	65	334	207	2628	73	72		05
128	Miller	Andre	4	4	0	70	68	39	83	5	83	14	36	45	85	75	74	80	80	30	83	57	88	20	77	60	6	50	941	430	65	12	411	342	25	127	501	194	142	239	215	2838	82	82		05
129	Odom	Lamar	2	1	1	73	63	58	74	71	53	38	43	87	53	77	59	78	68	50	67	56	54	23	82	81	18	54	1127	485	205	61	458	340	71	160	327	273	85	616	236	3003	80	80		05
130	Fowlkes	Tremaine	2	1	1	48	41	20	85	58	64	18	56	71	27	32	62	61	66	50	40	59	66	18	20	53	16	31	48	15	8	1	18	13	3	18	14	37	9	35	12	261	36	0		05
131	Dooling	Keyon	4	3	0	59	63	41	83	80	69	9	13	29	56	61	50	79	75	67	76	52	66	20	46	53	13	25	352	137	46	8	94	78	6	17	130	108	45	62	65	1137	58	24		05
132	Richardson	Quentin	3	2	0	69	75	75	74	81	53	13	50	62	29	78	47	70	69	79	73	65	45	25	70	51	31	60	1068	425	341	120	204	151	19	146	139	130	67	268	141	2338	65	64		05
133	Jaric	Marko	4	3	0	60	67	65	73	12	84	18	20	39	82	54	38	72	78	48	68	47	80	25	65	56	31	28	477	185	150	51	101	74	20	44	281	132	93	131	115	1760	58	50		05
134	Zhizhi	Wang	0	0	1	47	70	65	72	58	35	40	52	66	11	56	52	56	34	35	33	72	60	25	19	45	30	15	46	17	14	4	10	9	5	4	2	13	3	14	6	114	16	0		05
