,NAME,FNAME,POSITION,POSITION2,HAND,OVERALLRTG,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,CHEMTYPE,year
19,Pierce,Paul,3.0,2.0,0,89,85,67.0,82,80,76,27,18.0,70.0,64,83.0,74.0,82,78,72,83,68,90,25,84,61.0,25.0,94,,05
20,Sundov,Bruno,0.0,0.0,0,36,52,10.0,75,58,20,34,36.0,55.0,45,40.0,25.0,50,40,25,45,52,60,15,14,52.0,0.0,35,,05
21,Brown,Kedrick,2.0,2.0,0,57,52,72.0,63,80,58,13,35.0,57.0,32,58.0,41.0,64,67,75,68,62,57,25,42,51.0,38.0,26,,05
22,Bremer,J.R.,4.0,3.0,1,57,83,83.0,77,60,46,4,10.0,45.0,53,67.0,40.0,70,75,50,65,47,60,25,54,44.0,51.0,35,,05
23,Banks,Marcus,4.0,4.0,0,59,58,59.0,76,10,89,14,18.0,39.0,62,67.0,60.0,88,85,59,73,47,60,23,46,47.0,19.0,24,,05
24,Perkins,Kendrick,1.0,1.0,0,45,43,2.0,62,52,21,55,60.0,74.0,11,61.0,44.0,56,54,35,32,93,54,13,28,62.0,0.0,10,,05
25,Marshall,Donyell,1.0,2.0,0,74,62,75.0,74,64,58,67,57.0,86.0,20,77.0,42.0,60,71,54,61,63,72,25,80,70.0,31.0,39,,05
26,Hoiberg,Fred,3.0,2.0,0,54,75,76.0,84,0,67,9,10.0,71.0,29,56.0,70.0,66,60,40,66,54,80,25,65,35.0,44.0,25,,05
27,Rose,Jalen,3.0,4.0,1,73,74,65.0,81,58,37,14,11.0,49.0,64,78.0,77.0,82,82,56,89,57,86,25,79,62.0,21.0,51,,05
28,Brunson,Rick,4.0,4.0,1,46,63,62.0,42,5,82,0,36.0,46.0,75,46.0,59.0,64,60,40,72,32,45,25,24,45.0,21.0,35,,05
29,Blount,Corie,0.0,1.0,0,53,46,0.0,56,62,82,38,72.0,78.0,25,45.0,50.0,65,63,40,41,68,59,12,42,55.0,0.0,25,,05
30,Robinson,Eddie,3.0,2.0,0,53,62,13.0,65,81,59,16,21.0,41.0,28,64.0,49.0,70,71,75,66,52,65,15,45,58.0,0.0,42,,05
31,Fizer,Marcus,2.0,1.0,0,59,57,14.0,66,67,32,34,74.0,78.0,29,81.0,52.0,58,56,65,53,82,62,15,45,65.0,1.0,44,,05
32,Crawford,Jamal,3.0,4.0,0,72,83,78.0,83,80,72,16,13.0,45.0,80,79.0,31.0,74,80,55,75,46,69,25,67,54.0,39.0,60,,05
33,Chandler,Tyson,1.0,0.0,0,64,64,0.0,67,76,40,88,77.0,95.0,14,53.0,68.0,65,64,66,40,60,65,12,42,70.0,0.0,15,,05
34,Curry,Eddy,0.0,1.0,0,66,55,9.0,67,76,21,70,58.0,72.0,15,80.0,68.0,53,53,65,32,89,83,13,72,76.0,0.0,40,,05
35,Hassell,Trenton,3.0,2.0,0,52,66,28.0,79,10,33,42,33.0,48.0,29,35.0,68.0,69,68,68,70,56,85,18,75,42.0,3.0,20,,05
36,Mason Jr.,Roger,3.0,4.0,0,54,50,70.0,86,48,62,29,3.0,49.0,39,56.0,55.0,73,72,46,60,52,55,25,27,56.0,39.0,45,,05
37,Baxter,Lonny,1.0,0.0,0,53,49,2.0,68,67,24,52,73.0,74.0,11,74.0,58.0,59,50,50,40,67,70,13,33,58.0,0.0,33,,05
38,Ilgauskas,Zydrunas,0.0,0.0,0,69,68,15.0,75,63,29,88,78.0,74.0,21,78.0,65.0,46,59,56,30,70,60,15,71,85.0,1.0,58,,05
39,Stewart,Michael,1.0,1.0,0,35,22,0.0,12,42,14,82,62.0,73.0,11,27.0,59.0,59,55,41,15,56,88,12,19,48.0,0.0,20,,05
40,Davis,Ricky,2.0,2.0,0,70,68,63.0,72,87,72,14,25.0,60.0,52,77.0,38.0,70,72,88,71,46,70,25,71,61.0,14.0,48,,05
41,Jones,Jumaine,2.0,1.0,0,58,62,66.0,61,80,59,40,52.0,63.0,18,48.0,54.0,59,68,60,55,58,77,25,35,55.0,45.0,20,,05
42,Palacio,Milt,3.0,2.0,0,45,58,26.0,66,17,62,14,10.0,38.0,81,40.0,36.0,75,72,33,64,52,69,18,48,38.0,8.0,25,,05
43,Miles,Darius,2.0,2.0,0,65,43,38.0,64,88,59,47,43.0,63.0,38,75.0,66.0,73,70,86,60,52,55,20,62,60.0,5.0,30,,05
44,Mihm,Chris,0.0,0.0,0,54,40,0.0,66,58,51,77,81.0,84.0,8,69.0,54.0,47,40,50,33,78,45,12,46,65.0,0.0,20,,05
45,Diop,DeSagana,0.0,0.0,0,51,34,0.0,37,65,66,85,74.0,80.0,22,34.0,60.0,52,55,50,27,98,34,12,40,54.0,1.0,10,,05
46,Brown,Tierre,4.0,4.0,0,46,52,32.0,78,0,62,13,24.0,39.0,84,59.0,40.0,73,71,55,69,35,58,20,23,47.0,1.0,20,,05
47,Boozer,Carlos,1.0,0.0,0,73,55,8.0,77,78,53,34,71.0,95.0,28,77.0,51.0,56,57,66,46,92,75,13,75,68.0,0.0,75,,05
48,Wagner,Dajuan,3.0,4.0,0,54,68,73.0,68,10,67,16,10.0,36.0,35,78.0,55.0,72,78,62,73,57,65,25,40,51.0,28.0,20,,05
49,James,LeBron,3.0,2.0,0,84,63,58.0,75,98,77,31,25.0,57.0,79,79.0,60.0,77,72,90,70,71,75,23,75,70.0,14.0,90,,05
50,Johnson,Avery,4.0,4.0,1,48,56,8.0,77,0,64,4,18.0,27.0,81,70.0,73.0,78,78,30,66,27,65,13,25,47.0,1.0,59,,05
51,Finley,Michael,3.0,3.0,0,81,74,80.0,85,80,56,23,22.0,48.0,38,78.0,78.0,87,80,70,87,64,95,25,82,60.0,31.0,60,,05
52,Van Exel,Nick,4.0,3.0,1,64,81,67.0,71,0,29,2,10.0,38.0,83,75.0,66.0,81,90,65,82,55,85,25,64,55.0,31.0,52,,05
53,Abdul-Wahad,Tariq,2.0,3.0,0,46,57,6.0,46,59,54,23,56.0,67.0,50,54.0,55.0,68,63,55,57,48,30,13,28,51.0,0.0,33,,05
54,Jones,Popeye,1.0,1.0,0,42,39,0.0,64,58,42,7,86.0,71.0,18,46.0,61.0,46,42,40,35,85,50,12,15,63.0,0.0,10,,05
55,Bradley,Shawn,0.0,0.0,0,52,50,0.0,84,33,78,94,72.0,70.0,13,54.0,75.0,43,34,25,23,71,60,12,34,71.0,1.0,15,,05
56,Nash,Steve,4.0,4.0,0,75,86,82.0,92,0,46,5,18.0,35.0,97,82.0,74.0,97,96,65,90,52,85,25,76,50.0,30.0,40,,05
57,Nowitzki,Dirk,1.0,2.0,0,85,91,78.0,88,68,58,58,25.0,86.0,35,83.0,59.0,64,70,60,59,64,85,25,82,85.0,22.0,95,,05
58,LaFrentz,Raef,0.0,1.0,1,63,70,55.0,68,53,45,65,72.0,74.0,36,67.0,51.0,62,54,45,40,58,47,23,37,78.0,31.0,49,,05
59,Eschmeyer,Evan,0.0,0.0,0,43,45,2.0,22,58,61,51,81.0,88.0,15,40.0,43.0,50,41,40,33,74,37,13,21,74.0,0.0,10,,05
60,Griffin,Adrian,2.0,3.0,1,49,56,35.0,84,10,86,7,52.0,69.0,38,45.0,45.0,62,66,50,66,70,58,20,30,48.0,11.0,12,,05
61,Najera,Eduardo,2.0,1.0,0,53,47,24.0,65,10,82,43,72.0,66.0,17,46.0,64.0,62,68,45,59,68,64,18,33,75.0,1.0,32,,05
62,Howard,Josh,3.0,2.0,0,67,45,54.0,70,81,80,56,72.0,71.0,29,69.0,55.0,68,68,70,60,52,62,23,55,57.0,12.0,25,,05
63,Howard,Juwan,1.0,2.0,0,64,63,0.0,81,73,35,13,48.0,72.0,27,78.0,66.0,64,61,60,49,81,78,12,78,79.0,1.0,35,,05
64,Camby,Marcus,0.0,1.0,0,70,57,0.0,72,78,74,91,74.0,95.0,29,56.0,75.0,60,62,59,46,57,35,12,67,70.0,0.0,38,,05
65,Williams,Shammond,4.0,3.0,0,58,76,68.0,88,0,82,4,10.0,35.0,81,64.0,50.0,83,80,65,75,59,58,25,36,35.0,43.0,21,,05
66,Bowen,Ryan,2.0,2.0,0,51,52,22.0,66,45,90,47,63.0,42.0,27,43.0,73.0,63,60,65,42,40,50,18,41,65.0,0.0,29,,05
67,Harvey,Donnell,2.0,1.0,0,47,34,2.0,73,80,56,56,50.0,74.0,13,59.0,53.0,53,56,75,25,59,50,13,35,60.0,1.0,22,,05
68,White,Rodney,2.0,1.0,0,58,58,69.0,75,83,59,32,36.0,66.0,29,81.0,39.0,57,57,70,54,63,43,25,40,65.0,18.0,18,,05
69,Trepagnier,Jeff,3.0,3.0,1,39,48,2.0,54,66,60,42,48.0,56.0,36,38.0,50.0,46,52,55,46,36,63,13,23,46.0,20.0,21,,05
70,Andersen,Chris,1.0,0.0,0,57,37,0.0,59,91,61,99,70.0,86.0,17,45.0,48.0,45,39,66,29,62,64,12,40,63.0,1.0,25,,05
71,Tskitishvili,Nikoloz,1.0,2.0,0,51,67,38.0,79,58,35,41,63.0,67.0,15,66.0,32.0,63,63,50,53,56,43,20,30,64.0,9.0,15,,05
72,Nene,,1.0,0.0,0,60,59,0.0,68,70,81,27,50.0,72.0,32,70.0,47.0,52,61,70,40,75,55,12,72,75.0,1.0,25,,05
73,Wallace,Ben,0.0,1.0,0,77,55,2.0,49,78,82,94,80.0,95.0,27,48.0,99.0,50,60,80,21,80,90,13,89,75.0,1.0,25,,05
74,Billups,Chauncey,4.0,3.0,0,71,80,76.0,88,45,56,5,10.0,46.0,81,72.0,49.0,81,74,65,78,51,84,25,77,50.0,33.0,65,,05
75,Robinson,Cliff,1.0,1.0,0,65,74,71.0,71,64,43,41,15.0,50.0,46,66.0,87.0,65,57,50,69,59,75,25,77,60.0,33.0,34,,05
76,Williamson,Corliss,2.0,1.0,0,55,64,0.0,73,52,35,20,45.0,57.0,18,78.0,55.0,74,62,50,57,75,85,12,51,77.0,0.0,42,,05
77,Davis,Hubert,3.0,3.0,0,42,80,69.0,52,10,29,0,15.0,49.0,43,46.0,59.0,68,64,40,66,41,88,25,11,43.0,9.0,15,,05
78,Barry,Jon,3.0,3.0,0,57,86,75.0,85,0,84,13,18.0,48.0,66,61.0,57.0,66,60,40,69,58,70,25,45,35.0,46.0,33,,05
79,Curry,Michael,2.0,3.0,0,48,64,28.0,84,46,35,7,14.0,28.0,21,32.0,88.0,72,75,48,63,58,90,18,50,50.0,7.0,25,,05
80,Hamilton,Richard,3.0,2.0,0,74,82,47.0,87,69,69,11,22.0,39.0,65,79.0,65.0,80,78,62,71,48,85,20,80,60.0,5.0,65,,05
81,Atkins,Chucky,4.0,4.0,0,55,84,76.0,75,0,54,2,4.0,29.0,80,67.0,50.0,76,83,50,78,36,77,25,55,32.0,49.0,31,,05
82,Rebraca,Zeljko,0.0,0.0,0,54,55,0.0,77,72,34,65,69.0,69.0,11,64.0,47.0,47,42,60,28,74,87,12,25,68.0,0.0,24,,05
83,Prince,Tayshaun,2.0,1.0,1,65,52,62.0,77,80,43,41,28.0,59.0,35,59.0,75.0,65,68,75,60,54,70,25,74,60.0,21.0,30,,05
84,Okur,Mehmet,0.0,1.0,0,64,58,57.0,78,47,42,65,75.0,78.0,21,76.0,35.0,45,48,43,67,71,51,23,70,68.0,8.0,44,,05
85,Foyle,Adonal,0.0,1.0,0,45,23,0.0,54,65,19,89,73.0,85.0,14,46.0,38.0,49,44,40,18,79,45,12,65,43.0,0.0,10,,05
86,Sura,Bob,3.0,3.0,0,64,62,51.0,76,55,69,14,49.0,71.0,69,69.0,59.0,73,77,55,66,52,60,23,52,46.0,16.0,30,,05
87,Fortson,Danny,1.0,1.0,0,53,52,0.0,82,52,35,29,76.0,74.0,7,62.0,50.0,55,64,47,40,78,70,12,43,67.0,1.0,28,,05
88,Dampier,Erick,0.0,0.0,0,63,50,0.0,65,58,26,80,90.0,92.0,13,74.0,61.0,44,48,40,23,80,88,12,72,71.0,0.0,43,,05
89,Jamison,Antawn,2.0,1.0,0,78,74,56.0,75,82,64,20,74.0,64.0,14,79.0,61.0,73,71,81,65,59,90,23,67,73.0,4.0,85,,05
90,Boykins,Earl,4.0,4.0,0,58,66,65.0,88,0,51,2,18.0,29.0,82,77.0,61.0,99,99,50,72,26,80,25,56,21.0,22.0,28,,05
91,Richardson,Jason,3.0,2.0,0,78,67,61.0,68,99,54,23,34.0,71.0,38,79.0,51.0,83,83,97,75,62,53,25,81,53.0,21.0,87,,05
92,Murphy,Troy,1.0,2.0,1,64,64,40.0,75,62,37,45,64.0,87.0,15,77.0,51.0,68,58,45,56,68,60,20,55,71.0,6.0,36,,05
93,Arenas,Gilbert,4.0,3.0,0,73,69,81.0,75,59,83,9,21.0,52.0,66,80.0,40.0,84,79,60,80,49,68,25,76,54.0,36.0,68,,05
94,Dunleavy Jr.,Mike,2.0,2.0,0,63,76,72.0,74,52,53,18,42.0,75.0,46,72.0,50.0,63,58,44,64,58,75,25,70,52.0,35.0,32,,05
95,Welsch,Jiri,3.0,2.0,0,56,71,69.0,74,18,81,5,22.0,57.0,41,66.0,61.0,63,62,54,59,53,75,25,63,39.0,29.0,30,,05
96,Pietrus,Mickael,3.0,2.0,0,56,51,74.0,69,82,78,25,52.0,50.0,18,72.0,50.0,59,62,73,45,50,50,25,40,45.0,45.0,25,,05
97,Rice,Glen,2.0,2.0,0,49,84,74.0,76,0,27,5,15.0,43.0,21,70.0,58.0,72,69,60,59,40,50,25,56,66.0,36.0,39,,05
98,Taylor,Maurice,1.0,1.0,0,61,58,0.0,74,77,38,36,52.0,64.0,25,75.0,52.0,64,69,50,62,81,50,12,64,72.0,0.0,38,,05
99,Cato,Kelvin,0.0,1.0,0,59,27,0.0,68,69,54,80,71.0,82.0,20,46.0,60.0,52,60,75,15,85,73,12,58,51.0,1.0,27,,05
100,Mobley,Cuttino,3.0,4.0,1,74,78,82.0,81,65,61,30,10.0,53.0,42,75.0,65.0,83,77,75,71,65,72,25,87,42.0,38.0,55,,05
101,Posey,James,2.0,3.0,0,70,64,75.0,83,80,86,27,31.0,67.0,24,77.0,61.0,72,66,50,68,56,73,25,69,49.0,37.0,50,,05
102,Francis,Steve,4.0,3.0,0,85,70,59.0,77,95,75,18,29.0,53.0,82,78.0,68.0,86,83,96,89,48,75,23,87,40.0,22.0,75,,05
103,Norris,Moochie,4.0,4.0,1,54,68,63.0,76,0,84,9,10.0,35.0,80,53.0,60.0,82,70,50,72,47,80,25,36,36.0,26.0,15,,05
104,Collier,Jason,0.0,0.0,1,49,60,15.0,79,70,37,32,53.0,71.0,15,75.0,50.0,39,36,65,31,70,62,15,52,48.0,1.0,15,,05
105,Griffin,Eddie,1.0,2.0,0,58,59,67.0,62,70,51,59,48.0,69.0,22,55.0,46.0,55,56,70,58,54,60,25,30,49.0,28.0,38,,05
106,Ming,Yao,0.0,0.0,0,80,66,35.0,81,60,19,81,63.0,86.0,33,81.0,72.0,58,66,45,55,86,90,20,83,85.0,0.0,68,,05
107,Nachbar,Bostjan,3.0,2.0,0,53,66,74.0,72,59,50,45,13.0,64.0,28,51.0,32.0,60,62,48,58,58,66,25,32,61.0,47.0,37,,05
108,Croshere,Austin,1.0,2.0,0,58,71,79.0,89,57,42,22,46.0,80.0,24,70.0,59.0,59,52,50,54,68,45,25,39,49.0,46.0,22,,05
109,Strickland,Erick,3.0,4.0,1,62,82,80.0,86,10,81,5,18.0,55.0,82,78.0,54.0,76,72,50,68,61,58,25,32,36.0,33.0,30,,05
110,O'Neal,Jermaine,1.0,0.0,0,84,62,15.0,76,85,38,86,56.0,88.0,29,82.0,72.0,69,75,80,44,67,85,15,78,90.0,1.0,81,,05
111,Mercer,Ron,3.0,2.0,0,54,72,25.0,80,60,54,14,15.0,39.0,32,64.0,58.0,70,65,62,65,41,75,18,55,66.0,3.0,40,,05
112,Miller,Reggie,3.0,3.0,0,64,84,86.0,88,10,53,7,11.0,41.0,55,69.0,73.0,78,74,50,66,52,89,25,75,52.0,56.0,35,,05
113,Harrington,Al,2.0,1.0,0,71,65,49.0,73,90,61,14,55.0,72.0,27,71.0,65.0,68,69,89,58,75,58,20,70,52.0,8.0,68,,05
114,Miller,Brad,0.0,1.0,0,72,55,49.0,78,57,48,54,59.0,88.0,59,74.0,52.0,58,62,50,38,76,70,20,78,86.0,5.0,42,,05
115,Artest,Ron,2.0,3.0,0,72,66,63.0,73,51,86,31,29.0,56.0,49,79.0,80.0,58,83,56,61,76,55,25,80,60.0,21.0,57,,05
116,Foster,Jeff,0.0,1.0,0,53,51,0.0,67,61,67,22,84.0,82.0,15,48.0,49.0,51,49,50,30,67,85,12,58,55.0,0.0,20,,05
117,Bender,Jonathan,1.0,2.0,0,61,66,61.0,83,86,34,67,27.0,60.0,17,81.0,31.0,63,68,50,55,52,70,25,35,72.0,20.0,30,,05
118,Brezec,Primoz,1.0,1.0,0,32,50,18.0,20,58,21,34,44.0,47.0,17,44.0,37.0,35,39,40,30,69,43,15,13,72.0,0.0,35,,05
119,Tinsley,Jamaal,4.0,3.0,0,63,54,79.0,73,0,88,20,17.0,42.0,81,61.0,62.0,81,81,50,86,49,75,25,55,35.0,55.0,29,,05
120,Brewer,Jamison,4.0,3.0,0,40,43,31.0,35,12,35,4,34.0,58.0,80,49.0,38.0,70,67,65,73,43,47,20,34,29.0,40.0,15,,05
121,Jones,Fred,3.0,3.0,0,55,51,51.0,83,90,80,20,14.0,35.0,56,51.0,50.0,65,65,97,35,40,70,23,49,35.0,28.0,24,,05
122,Parks,Cherokee,0.0,1.0,0,47,50,15.0,61,58,45,50,57.0,70.0,15,56.0,51.0,48,37,40,35,49,81,15,44,54.0,0.0,34,,05
123,Piatkowski,Eric,3.0,2.0,0,48,86,81.0,83,10,42,11,11.0,48.0,18,54.0,51.0,68,67,40,63,59,61,25,35,48.0,57.0,33,,05
124,Rooks,Sean,0.0,1.0,0,38,39,0.0,89,57,43,27,32.0,66.0,24,45.0,46.0,36,32,25,34,79,60,12,35,55.0,1.0,25,,05
125,Olowokandi,Michael,0.0,0.0,0,60,57,0.0,59,68,32,86,69.0,81.0,13,58.0,55.0,50,57,60,28,81,76,12,50,77.0,0.0,24,,05
126,Brand,Elton,1.0,1.0,0,82,69,10.0,77,79,45,81,75.0,78.0,42,80.0,65.0,60,64,65,50,85,72,15,82,87.0,1.0,65,,05
127,Maggette,Corey,2.0,3.0,0,76,66,65.0,85,92,45,9,29.0,67.0,42,83.0,54.0,78,74,92,71,67,82,25,78,50.0,22.0,71,,05
128,Miller,Andre,4.0,4.0,0,70,68,39.0,83,5,83,14,36.0,45.0,85,75.0,74.0,80,80,30,83,57,88,20,77,60.0,6.0,50,,05
129,Odom,Lamar,2.0,1.0,1,73,63,58.0,74,71,53,38,43.0,87.0,53,77.0,59.0,78,68,50,67,56,54,23,82,81.0,18.0,54,,05
130,Fowlkes,Tremaine,2.0,1.0,1,48,41,20.0,85,58,64,18,56.0,71.0,27,32.0,62.0,61,66,50,40,59,66,18,20,53.0,16.0,31,,05
131,Dooling,Keyon,4.0,3.0,0,59,63,41.0,83,80,69,9,13.0,29.0,56,61.0,50.0,79,75,67,76,52,66,20,46,53.0,13.0,25,,05
132,Richardson,Quentin,3.0,2.0,0,69,75,75.0,74,81,53,13,50.0,62.0,29,78.0,47.0,70,69,79,73,65,45,25,70,51.0,31.0,60,,05
133,Jaric,Marko,4.0,3.0,0,60,67,65.0,73,12,84,18,20.0,39.0,82,54.0,38.0,72,78,48,68,47,80,25,65,56.0,31.0,28,,05
134,Zhizhi,Wang,0.0,0.0,1,47,70,65.0,72,58,35,40,52.0,66.0,11,56.0,52.0,56,34,35,33,72,60,25,19,45.0,30.0,15,,05
135,Wilcox,Chris,1.0,1.0,0,55,52,0.0,70,78,40,23,72.0,71.0,18,75.0,68.0,56,57,79,21,56,62,12,49,65.0,0.0,21,,05
136,Ely,Melvin,1.0,2.0,0,50,55,0.0,60,60,32,54,73.0,55.0,21,59.0,45.0,55,56,50,24,79,75,12,30,57.0,0.0,30,,05
137,Fisher,Derek,4.0,4.0,1,62,87,63.0,80,10,87,4,14.0,36.0,52,62.0,68.0,79,70,50,74,62,91,25,54,45.0,31.0,37,,05
138,Payton,Gary,4.0,4.0,0,70,77,60.0,71,10,62,11,21.0,50.0,82,75.0,85.0,80,79,55,79,41,92,25,77,62.0,16.0,48,,05
139,Fox,Rick,2.0,2.0,0,50,59,47.0,73,10,62,7,28.0,46.0,54,53.0,78.0,62,60,35,63,62,73,20,47,50.0,15.0,24,,05
140,Walker,Samaki,1.0,1.0,0,51,56,0.0,66,58,40,43,75.0,78.0,7,48.0,41.0,55,50,50,34,78,76,12,29,72.0,2.0,26,,05
141,Murray,Tracy,2.0,2.0,0,48,75,75.0,62,35,43,27,31.0,39.0,20,78.0,42.0,62,55,50,52,44,88,25,17,50.0,41.0,35,,05
142,O'Neal,Shaquille,0.0,0.0,0,92,99,0.0,49,99,26,88,75.0,89.0,39,83.0,95.0,60,63,89,39,99,80,12,78,99.0,0.0,95,,05
143,George,Devean,2.0,2.0,0,66,69,65.0,76,70,65,32,36.0,67.0,28,59.0,39.0,69,69,68,65,71,80,25,65,62.0,32.0,32,,05
144,Madsen,Mark,1.0,2.0,0,51,50,0.0,51,58,48,23,77.0,59.0,14,50.0,59.0,58,59,45,33,72,85,12,55,73.0,2.0,20,,05
145,Medvedenko,Slava,1.0,1.0,0,55,57,0.0,77,58,48,40,76.0,71.0,20,75.0,55.0,51,43,40,43,73,57,12,51,68.0,0.0,25,,05
146,Malone,Karl,1.0,1.0,0,69,80,12.0,75,55,67,23,36.0,91.0,59,77.0,80.0,60,60,40,45,78,98,15,66,72.0,0.0,33,,05
147,Rush,Kareem,3.0,3.0,1,57,69,70.0,60,60,55,25,16.0,40.0,30,70.0,40.0,73,69,55,75,62,75,25,60,44.0,31.0,21,,05
148,Pargo,Jannero,4.0,4.0,0,55,74,74.0,85,10,50,10,14.0,32.0,73,76.0,60.0,80,77,35,60,29,75,25,33,33.0,31.0,60,,05
149,Bryant,Kobe,3.0,3.0,0,94,75,75.0,85,95,81,18,34.0,56.0,66,85.0,80.0,87,87,95,88,62,88,25,79,62.0,18.0,99,,05
150,Cook,Brian,1.0,2.0,0,54,49,0.0,75,42,67,59,57.0,76.0,25,67.0,43.0,59,59,50,55,67,70,12,29,62.0,1.0,15,,05
151,Knight,Brevin,4.0,4.0,0,52,43,22.0,75,0,97,2,11.0,50.0,88,48.0,64.0,84,76,40,72,44,55,18,55,42.0,3.0,21,,05
152,Wright,Lorenzen,0.0,0.0,0,65,61,0.0,73,75,50,56,70.0,81.0,21,70.0,61.0,64,62,50,35,66,70,12,58,73.0,0.0,47,,05
153,Person,Wesley,3.0,2.0,0,56,81,83.0,79,40,34,14,13.0,52.0,31,62.0,60.0,68,71,40,67,50,90,25,43,45.0,43.0,40,,05
154,Williams,Jason,4.0,3.0,0,71,70,78.0,84,29,80,4,10.0,31.0,92,70.0,41.0,88,85,60,94,52,75,25,66,42.0,51.0,62,,05
155,Swift,Stromile,1.0,0.0,0,70,53,7.0,73,92,67,86,72.0,75.0,13,78.0,47.0,58,58,73,47,65,68,13,60,70.0,0.0,40,,05
156,Miller,Mike,3.0,2.0,0,68,80,75.0,72,50,61,13,20.0,52.0,64,78.0,55.0,76,60,60,65,58,80,25,61,64.0,34.0,49,,05
157,Gasol,Pau,1.0,0.0,0,82,73,27.0,71,71,34,86,69.0,77.0,39,82.0,55.0,70,68,60,58,67,90,18,79,84.0,1.0,80,,05
158,Battier,Shane,3.0,2.0,0,66,70,68.0,73,56,84,49,42.0,55.0,25,66.0,70.0,68,65,60,60,59,62,25,59,57.0,34.0,38,,05
159,Watson,Earl,4.0,4.0,0,56,61,52.0,65,0,85,18,24.0,41.0,94,53.0,50.0,74,75,44,63,52,74,23,52,34.0,22.0,30,,05
